01103,"ｷﾝｲｷﾖｳ ﾁﾕｳｵｳﾋﾞﾖｳｲﾝ","勤医協　中央病院","北海道","札幌市東区","伏古十条","２丁目１５番１号","0078505","007  ","丘珠",0,0,5
03201,"ｲﾜﾃﾛｳﾄﾞｳｷｼﾞﾕﾝｷﾖｸ","岩手労働基準局","岩手県","盛岡市","内丸","７－２５","0208522","020  ","盛岡中央",0,0,5
03201,"ｲﾜﾃﾒﾝｺｲﾃﾚﾋﾞ","岩手めんこいテレビ","岩手県","盛岡市","本宮","字松幅８９（盛岡中央郵便局私書箱第３３号）","0208633","02091","盛岡中央",1,0,5
04101,"ｷﾔﾉﾝﾏ-ｹﾃｲﾝｸﾞｼﾞﾔﾊﾟﾝ ｶﾌﾞｼｷｶﾞｲｼﾔ ｾﾝﾀﾞｲｼﾃﾝ","キヤノンマーケティングジャパン　株式会社　仙台支店","宮城県","仙台市青葉区","国分町","３丁目６－１仙台パークビルヂング","9808560","980  ","仙台中央",0,0,5
05201,"ｱｷﾀｹﾝ ｼﾔｶｲﾎｹﾝｼﾝﾘﾖｳﾎｳｼﾕｳｼﾊﾗｲｷｷﾝ","秋田県　社会保険診療報酬支払基金","秋田県","秋田市","中通","７丁目２－１７","0108566","010  ","秋田中央",0,0,5
05201,"ｶﾌﾞｼｷｶﾞｲｼﾔ ｾｲﾌﾞﾋﾔﾂｶﾃﾝ ｱｷﾀﾃﾝ","株式会社　西武百貨店　秋田店","秋田県","秋田市","中通","２丁目６番１号","0108505","010  ","秋田中央",0,0,5
07202,"ﾌｸｼﾏｹﾝﾘﾂ ｱｲﾂﾞｿｳｺﾞｳﾋﾞﾖｳｲﾝ","福島県立　会津総合病院","福島県","会津若松市","城前","１０－７５","9658555","965  ","会津若松",0,0,5
07203,"ｻﾞｲﾀﾞﾝﾎｳｼﾞﾝ ｵｵﾀｿｳｺﾞｳﾋﾞﾖｳｲﾝﾌｿﾞｸｵｵﾀﾆｼﾉｳﾁﾋﾞﾖｳｲﾝ","財団法人　太田総合病院附属太田西ノ内病院","福島県","郡山市","西ノ内","２丁目５－２０","9638558","963  ","郡山",0,0,5
07203,"ｻﾞｲﾀﾞﾝﾎｳｼﾞﾝ ﾎｼｿｳｺﾞｳﾋﾞﾖｳｲﾝ","財団法人　星総合病院","福島県","郡山市","向河原町","１５９番１号","9638501","963  ","郡山",0,0,5
09206,"ｶﾌﾞｼｷｶﾞｲｼﾔ ﾀｶﾊｼﾔｼﾞｳｴﾓﾝｼﾖｳﾃﾝ","株式会社　高橋弥次右衛門商店","栃木県","日光市","土沢","１４４２－１","3211297","32112","日光東",0,0,5
09206,"ﾆﾂｺｳﾌﾟﾘﾝｽﾎﾃﾙ","日光プリンスホテル","栃木県","日光市","中宮祠","２４８５","3211692","32116","中禅寺",0,0,5
