07201,"960  ","9608051","ﾌｸｼﾏｹﾝ","ﾌｸｼﾏｼ","ｿﾈﾀﾞﾁｮｳ","福島県","福島市","曾根田町",0,0,0,0,2,6
08235,"30023","3002359","ｲﾊﾞﾗｷｹﾝ","ﾂｸﾊﾞﾐﾗｲｼ","ｵｼﾞﾏｼﾝﾃﾞﾝ(ｼﾎｳｶﾞｵｶ)","茨城県","つくばみらい市","小島新田（紫峰ヶ丘）",1,0,1,1,2,6
08235,"30023","3002352","ｲﾊﾞﾗｷｹﾝ","ﾂｸﾊﾞﾐﾗｲｼ","ｵｼﾞﾏｼﾝﾃﾞﾝ(ｿﾉﾀ)","茨城県","つくばみらい市","小島新田（その他）",1,0,0,0,2,6
08235,"30023","3002359","ｲﾊﾞﾗｷｹﾝ","ﾂｸﾊﾞﾐﾗｲｼ","ｵﾊﾞﾘ(ｼﾎｳｶﾞｵｶ)","茨城県","つくばみらい市","小張（紫峰ヶ丘）",1,0,1,1,2,6
08235,"30023","3002358","ｲﾊﾞﾗｷｹﾝ","ﾂｸﾊﾞﾐﾗｲｼ","ｵﾊﾞﾘ(ﾖｳｺｳﾀﾞｲ)","茨城県","つくばみらい市","小張（陽光台）",1,0,1,1,2,6
08235,"30023","3002353","ｲﾊﾞﾗｷｹﾝ","ﾂｸﾊﾞﾐﾗｲｼ","ｵﾊﾞﾘ(ｿﾉﾀ)","茨城県","つくばみらい市","小張（その他）",1,0,0,0,2,6
08235,"30023","3002359","ｲﾊﾞﾗｷｹﾝ","ﾂｸﾊﾞﾐﾗｲｼ","ﾀﾑﾗ(ｼﾎｳｶﾞｵｶ)","茨城県","つくばみらい市","田村（紫峰ヶ丘）",1,0,1,1,2,6
08235,"30024","3002417","ｲﾊﾞﾗｷｹﾝ","ﾂｸﾊﾞﾐﾗｲｼ","ﾀﾑﾗ(ﾌｼﾞﾐｶﾞｵｶ)","茨城県","つくばみらい市","田村（富士見ヶ丘）",1,0,1,1,2,6
08235,"30024","3002413","ｲﾊﾞﾗｷｹﾝ","ﾂｸﾊﾞﾐﾗｲｼ","ﾀﾑﾗ(ｿﾉﾀ)","茨城県","つくばみらい市","田村（その他）",1,0,0,0,2,6
08235,"30023","3002359","ｲﾊﾞﾗｷｹﾝ","ﾂｸﾊﾞﾐﾗｲｼ","ﾆｼﾅﾗﾄﾞ(ｼﾎｳｶﾞｵｶ)","茨城県","つくばみらい市","西楢戸（紫峰ヶ丘）",1,0,1,1,2,6
08235,"30024","3002417","ｲﾊﾞﾗｷｹﾝ","ﾂｸﾊﾞﾐﾗｲｼ","ﾆｼﾅﾗﾄﾞ(ﾌｼﾞﾐｶﾞｵｶ)","茨城県","つくばみらい市","西楢戸（富士見ヶ丘）",1,0,1,1,2,6
08235,"30024","3002415","ｲﾊﾞﾗｷｹﾝ","ﾂｸﾊﾞﾐﾗｲｼ","ﾆｼﾅﾗﾄﾞ(ｿﾉﾀ)","茨城県","つくばみらい市","西楢戸（その他）",1,0,0,0,2,6
08235,"30023","3002359","ｲﾊﾞﾗｷｹﾝ","ﾂｸﾊﾞﾐﾗｲｼ","ﾋｶﾞｼﾅﾗﾄﾞ(ｼﾎｳｶﾞｵｶ)","茨城県","つくばみらい市","東楢戸（紫峰ヶ丘）",1,0,1,1,2,6
08235,"30024","3002417","ｲﾊﾞﾗｷｹﾝ","ﾂｸﾊﾞﾐﾗｲｼ","ﾋｶﾞｼﾅﾗﾄﾞ(ﾌｼﾞﾐｶﾞｵｶ)","茨城県","つくばみらい市","東楢戸（富士見ヶ丘）",1,0,1,1,2,6
08235,"30023","3002358","ｲﾊﾞﾗｷｹﾝ","ﾂｸﾊﾞﾐﾗｲｼ","ﾋｶﾞｼﾅﾗﾄﾞ(ﾖｳｺｳﾀﾞｲ)","茨城県","つくばみらい市","東楢戸（陽光台）",1,0,1,1,2,6
08235,"30024","3002416","ｲﾊﾞﾗｷｹﾝ","ﾂｸﾊﾞﾐﾗｲｼ","ﾋｶﾞｼﾅﾗﾄﾞ(ｿﾉﾀ)","茨城県","つくばみらい市","東楢戸（その他）",1,0,0,0,2,6
08235,"30024","3002417","ｲﾊﾞﾗｷｹﾝ","ﾂｸﾊﾞﾐﾗｲｼ","ﾏｷﾞ(ﾌｼﾞﾐｶﾞｵｶ)","茨城県","つくばみらい市","真木（富士見ヶ丘）",1,0,1,1,2,6
08235,"30024","3002414","ｲﾊﾞﾗｷｹﾝ","ﾂｸﾊﾞﾐﾗｲｼ","ﾏｷﾞ(ｿﾉﾀ)","茨城県","つくばみらい市","真木（その他）",1,0,0,0,2,6
45382,"88011","8801121","ﾐﾔｻﾞｷｹﾝ","ﾋｶﾞｼﾓﾛｶﾀｸﾞﾝｸﾆﾄﾐﾁｮｳ","ｲｻﾞｵ(ﾌｷｱｹﾞ)","宮崎県","東諸県郡国富町","伊佐生（吹上）",1,0,0,0,2,6
45382,"88012","8801221","ﾐﾔｻﾞｷｹﾝ","ﾋｶﾞｼﾓﾛｶﾀｸﾞﾝｸﾆﾄﾐﾁｮｳ","ｲｻﾞｵ(ｿﾉﾀ)","宮崎県","東諸県郡国富町","伊佐生（その他）",1,0,0,0,2,6
