02412,"03921","0392151","ｱｵﾓﾘｹﾝ","ｶﾐｷﾀｸﾞﾝｵｲﾗｾﾁｮｳ","ﾑｶｲﾔﾏ","青森県","上北郡おいらせ町","向山",0,0,0,0,2,6
03305,"02001","0200100","ｲﾜﾃｹﾝ","ｲﾜﾃｸﾞﾝﾀｷｻﾞﾜﾑﾗ","ｲｶﾆｹｲｻｲｶﾞﾅｲﾊﾞｱｲ","岩手県","岩手郡滝沢村","以下に掲載がない場合",0,0,0,0,2,6
03305,"02001","0200172","ｲﾜﾃｹﾝ","ｲﾜﾃｸﾞﾝﾀｷｻﾞﾜﾑﾗ","ｳｶｲ","岩手県","岩手郡滝沢村","鵜飼",0,1,0,0,2,6
03305,"02001","0200151","ｲﾜﾃｹﾝ","ｲﾜﾃｸﾞﾝﾀｷｻﾞﾜﾑﾗ","ｵｵｶﾞﾏ","岩手県","岩手郡滝沢村","大釜",0,1,0,0,2,6
03305,"02001","0200171","ｲﾜﾃｹﾝ","ｲﾜﾃｸﾞﾝﾀｷｻﾞﾜﾑﾗ","ｵｵｻﾜ","岩手県","岩手郡滝沢村","大沢",0,1,0,0,2,6
03305,"02001","0200161","ｲﾜﾃｹﾝ","ｲﾜﾃｸﾞﾝﾀｷｻﾞﾜﾑﾗ","ｼﾉｷﾞ","岩手県","岩手郡滝沢村","篠木",0,1,0,0,2,6
03305,"02001","0200173","ｲﾜﾃｹﾝ","ｲﾜﾃｸﾞﾝﾀｷｻﾞﾜﾑﾗ","ﾀｷｻﾞﾜ","岩手県","岩手郡滝沢村","滝沢",0,1,0,0,2,6
08208,"301  ","3010854","ｲﾊﾞﾗｷｹﾝ","ﾘｭｳｶﾞｻｷｼ","ﾅｶｻﾞﾄﾏﾁ","茨城県","龍ケ崎市","中里",0,0,0,0,2,6
15104,"95002","9500201","ﾆｲｶﾞﾀｹﾝ","ﾆｲｶﾞﾀｼｺｳﾅﾝｸ","ｺﾏｺﾞﾒ","新潟県","新潟市江南区","駒込",0,0,1,0,2,6
15210,"948  ","9480061","ﾆｲｶﾞﾀｹﾝ","ﾄｵｶﾏﾁｼ","ｼｮｳﾜﾁｮｳ","新潟県","十日町市","昭和町",0,0,0,0,2,6
15210,"948  ","9480028","ﾆｲｶﾞﾀｹﾝ","ﾄｵｶﾏﾁｼ","ﾀﾅｶﾁｮｳ","新潟県","十日町市","田中町",0,0,0,0,2,6
15210,"948  ","9480068","ﾆｲｶﾞﾀｹﾝ","ﾄｵｶﾏﾁｼ","ﾄｵｶﾏﾁｻｶｴﾁｮｳ","新潟県","十日町市","十日町栄町",0,0,0,0,2,6
15210,"948  ","9480066","ﾆｲｶﾞﾀｹﾝ","ﾄｵｶﾏﾁｼ","ﾌｸﾛﾁｮｳ","新潟県","十日町市","袋町",0,0,0,0,2,6
15210,"948  ","9480083","ﾆｲｶﾞﾀｹﾝ","ﾄｵｶﾏﾁｼ","ﾎﾝﾁｮｳ(1ﾁｮｳﾒ)","新潟県","十日町市","本町（１丁目）",1,0,0,1,2,6
15210,"948  ","9480082","ﾆｲｶﾞﾀｹﾝ","ﾄｵｶﾏﾁｼ","ﾎﾝﾁｮｳ(2､3､4ﾁｮｳﾒ)","新潟県","十日町市","本町（２、３、４丁目）",1,0,0,0,2,6
15210,"948  ","9480083","ﾆｲｶﾞﾀｹﾝ","ﾄｵｶﾏﾁｼ","ﾎﾝﾁｮｳﾆｼ(1ﾁｮｳﾒ)","新潟県","十日町市","本町西（１丁目）",0,0,1,1,2,6
15210,"948  ","9480083","ﾆｲｶﾞﾀｹﾝ","ﾄｵｶﾏﾁｼ","ﾎﾝﾁｮｳﾋｶﾞｼ(1ﾁｮｳﾒ)","新潟県","十日町市","本町東（１丁目）",0,0,1,1,2,6
15210,"948  ","9480023","ﾆｲｶﾞﾀｹﾝ","ﾄｵｶﾏﾁｼ","ﾐﾔｼﾀﾁｮｳ","新潟県","十日町市","宮下町",0,0,0,0,2,6
17201,"92181","9218046","ｲｼｶﾜｹﾝ","ｶﾅｻﾞﾜｼ","ｵｵｸﾜﾏﾁ(ｱ､ｲ､ｲ､ｳ､ｳｴﾉ､ｵ､ｵｵﾂ､ｶﾈﾂｷﾔﾏ､ｶﾐｶﾜﾗ､ｶﾐﾈｺｼﾀ､","石川県","金沢市","大桑町（ア、イ、ヰ、ウ、上野、ヲ、オ乙、鐘搗山、上川原、上猫下、",1,0,0,0,2,6
17201,"92181","9218046","ｲｼｶﾜｹﾝ","ｶﾅｻﾞﾜｼ","ｸ､ｹ､ｺﾞｼｮｶﾞﾀﾞﾆ､ｺﾃﾞﾗﾔﾏ､ｼ､ｼﾓｳｴﾉ､ｼﾓﾆｼｶﾞｹ､ﾀﾞｲﾗ､ﾁ､ﾂｵﾂ､ﾂﾍｲ､ﾃ､ﾄ､","石川県","金沢市","ク、ケ、御所谷、小寺山、シ、下上野、下西欠、平、チ、ツ乙、ツ丙、テ、ト、",1,0,0,0,2,6
17201,"92181","9218046","ｲｼｶﾜｹﾝ","ｶﾅｻﾞﾜｼ","ﾅｶｳｴﾉ､ﾅｶｵﾔﾏ､ﾅｶﾀﾞｲﾗ､ﾅｶﾉｵｵﾋﾗ､ﾆｼﾉﾔﾏ､ﾈｺﾉｼﾀｲ､ﾉ､ﾊ､ﾋﾗｷ､","石川県","金沢市","中上野、中尾山、中平、中ノ大平、西ノ山、猫シタイ、ノ、ハ、開、",1,0,0,0,2,6
17201,"92181","9218046","ｲｼｶﾜｹﾝ","ｶﾅｻﾞﾜｼ","ﾎｳｼﾔﾏ､ﾎﾞｳﾔﾏ､ﾏ､ﾏｽｶﾜﾌﾞﾁ､ﾑ､ﾓﾄｽｴ､ﾓﾄﾜｸﾅﾐｺｳ､ﾔ､ﾘ､ﾙ､ﾚｵﾂ､","石川県","金沢市","法師山、坊山、マ、鱒川淵、ム、元末、元涌波庚、ヤ、リ、ル、レ乙、",1,0,0,0,2,6
17201,"92181","9218046","ｲｼｶﾜｹﾝ","ｶﾅｻﾞﾜｼ","ﾚｺｳ､ﾛｵﾂ､ﾛｺｳ､ﾜ)","石川県","金沢市","レ甲、ロ乙、ロ甲、和）",1,0,0,0,2,6
18423,"91601","9160156","ﾌｸｲｹﾝ","ﾆｭｳｸﾞﾝｴﾁｾﾞﾝﾁｮｳ","ﾋｶﾞｼｳﾁｺﾞｵﾘ","福井県","丹生郡越前町","東内郡",1,1,1,0,2,6
25206,"525  ","5250046","ｼｶﾞｹﾝ","ｸｻﾂｼ","ｵｲﾜｹﾁｮｳ","滋賀県","草津市","追分町",0,0,0,0,2,6
26102,"602  ","6020898","ｷｮｳﾄﾌ","ｷｮｳﾄｼｶﾐｷﾞｮｳｸ","ｿｳｺｸｼﾞﾓﾝｾﾞﾝﾁｮｳ","京都府","京都市上京区","相国寺門前町",0,0,0,0,2,6
47201,"900  ","9000024","ｵｷﾅﾜｹﾝ","ﾅﾊｼ","ｺﾊｸﾞﾗ","沖縄県","那覇市","古波蔵",0,0,0,0,2,6
47201,"900  ","9000023","ｵｷﾅﾜｹﾝ","ﾅﾊｼ","ｿﾍﾞ","沖縄県","那覇市","楚辺",0,0,0,0,2,6
47201,"900  ","9000025","ｵｷﾅﾜｹﾝ","ﾅﾊｼ","ﾂﾎﾞｶﾞﾜ","沖縄県","那覇市","壺川",0,0,0,0,2,6
