01224,"ｷﾘﾝﾋﾞ-ﾙ ｶﾌﾞｼｷｶﾞｲｼﾔ ﾎﾂｶｲﾄﾞｳﾁﾄｾｺｳｼﾞﾖｳ","キリンビール　株式会社　北海道千歳工場","北海道","千歳市","上長都","９４９番地１","0668711","066  ","千歳",0,0,1
04101,"ﾄﾞｸﾘﾂｷﾞﾖｳｾｲﾎｳｼﾞﾝ ﾁｲｷｲﾘﾖｳｷﾉｳｽｲｼﾝｷｺｳ ｾﾝﾀﾞｲﾋﾞﾖｳｲﾝ","独立行政法人　地域医療機能推進機構　仙台病院","宮城県","仙台市青葉区","堤町","三丁目１６番１号","9818501","981  ","仙台北",0,0,1
04104,"ｺｸﾄﾞｺｳﾂｳｼﾖｳ ﾄｳﾎｸﾁﾎｳｾｲﾋﾞｷﾖｸ ｾﾝﾀﾞｲｶｾﾝｺｸﾄﾞｳｼﾞﾑｼﾖ","国土交通省　東北地方整備局　仙台河川国道事務所","宮城県","仙台市太白区","あすと長町","四丁目１番６０号","9828566","982  ","新仙台",0,0,1
06203,"ｿﾆ-ｾﾐｺﾝﾀﾞｸﾀ ｶﾌﾞｼｷｶﾞｲｼﾔ ﾔﾏｶﾞﾀﾃｸﾉﾛｼﾞ-ｾﾝﾀ-","ソニーセミコンダクタ　株式会社　山形テクノロジーセンター","山形県","鶴岡市","宝田","一丁目１１番７３号","9978522","997  ","鶴岡",0,0,1
06203,"ﾙﾈｻｽｾﾐｺﾝﾀﾞｸﾀﾏﾆﾕﾌｱｸﾁﾕｱﾘﾝｸﾞ ｶﾌﾞｼｷｶﾞｲｼﾔ ﾂﾙｵｶｺｳｼﾞﾖｳ","ルネサスセミコンダクタマニュファクチュアリング　株式会社　鶴岡工場","山形県","鶴岡市","宝田","一丁目１４番３８号","9978523","997  ","鶴岡",0,0,1
11103,"ｻｲﾀﾏｼ ｵｵﾐﾔｸﾔｸｼﾖ","さいたま市　大宮区役所","埼玉県","さいたま市大宮区","大門町","３丁目１（さいたま新都心郵便局私書箱第１号）","3308501","330  ","さいたま新都心",1,0,1
11381,"ﾌﾞｼﾕｳｾｲﾔｸ ｶﾌﾞｼｷｶﾞｲｼﾔ ﾐｻﾄｺｳｼﾞﾖｳ","武州製薬　株式会社　美里工場","埼玉県","児玉郡美里町","大字広木","９５０","3670198","36701","児玉",0,0,1
12101,"ｶﾌﾞｼｷｶﾞｲｼﾔ ﾐﾂﾋﾞｼﾄｳｷﾖｳﾕｰｴﾌｼﾞｴｲｷﾞﾝｺｳ ﾁﾊﾞｼﾃﾝ､ ﾁﾊﾞﾁﾕｳｵｳｼﾃﾝ","株式会社　三菱東京ＵＦＪ銀行　千葉支店、千葉中央支店","千葉県","千葉市中央区","富士見","２－３－１","2608636","260  ","千葉中央",0,0,1
13102,"ｵｳｼﾞﾈﾋﾟｱ ｶﾌﾞｼｷｶﾞｲｼﾔ","王子ネピア　株式会社","東京都","中央区","銀座","５丁目１２－８号王子製紙１号館","1048319","104  ","銀座",0,0,1
13102,"ｵｼﾀﾆﾌｴﾙﾄｶｾｲ ｶﾌﾞｼｷｶﾞｲｼﾔ","押谷フエルト化成　株式会社","東京都","中央区","銀座","１丁目２０－１７","1048131","104  ","銀座",0,0,1
13102,"ｶﾌﾞｼｷｶｲｼﾔ ﾆﾂﾎﾟﾝｺ-ﾄﾞ-","株式会社　日本香堂","東京都","中央区","銀座","４丁目９－１","1048135","104  ","銀座",0,0,1
13102,"ｶﾌﾞｼｷｶﾞｲｼﾔ ｱｻﾋｺｳｺｸｼﾔ","株式会社　朝日広告社","東京都","中央区","銀座","７丁目１６－１２","1048313","104  ","銀座",0,0,1
13102,"ｶﾌﾞｼｷｶﾞｲｼﾔ ｴｲﾋﾞﾂｳｼﾝ","株式会社　栄美通信","東京都","中央区","銀座","１丁目１５－６ＫＮ銀座ビル","1048189","104  ","銀座",0,0,1
13102,"ｶﾌﾞｼｷｶﾞｲｼﾔ ｴﾈｵｽﾌﾛﾝﾃｲｱ","株式会社　ＥＮＥＯＳフロンティア","東京都","中央区","銀座","１丁目１０番６号","1048218","104  ","銀座",0,0,1
13102,"ｶﾌﾞｼｷｶﾞｲｼﾔ ｷﾌﾞﾝｼﾖｸﾋﾝ","株式会社　紀文食品","東京都","中央区","銀座","５丁目１５－１","1048101","104  ","銀座",0,0,1
13102,"ｶﾌﾞｼｷｶﾞｲｼﾔ ｷﾝﾀﾞｲｴｲｶﾞｼﾔ","株式会社　近代映画社","東京都","中央区","銀座","６丁目８－３尾張町ビル２階","1048168","104  ","銀座",0,0,1
13102,"ｶﾌﾞｼｷｶﾞｲｼﾔ ｼｾｲﾄﾞｳ","株式会社　資生堂","東京都","中央区","銀座","７丁目５－５","1048010","104  ","銀座",0,0,1
13102,"ｶﾌﾞｼｷｶﾞｲｼﾔ ｼﾞｼﾞﾂｳｼﾝｼﾔ","株式会社　時事通信社","東京都","中央区","銀座","５丁目１５－８","1048178","104  ","銀座",0,0,1
13102,"ｶﾌﾞｼｷｶﾞｲｼﾔ ｼﾞﾔﾊﾟﾝ･ｴﾝﾀ-ﾃｲﾒﾝﾄ･ﾈﾂﾄﾜ-ｸ","株式会社　ジャパン・エンターテイメント・ネットワーク","東京都","中央区","銀座","６－１８－２銀座ＭＴＲ１１階","1048142","104  ","銀座",0,0,1
13102,"ｶﾌﾞｼｷｶﾞｲｼﾔ ｾﾞｱﾘｽﾞ","株式会社　ゼアリズ","東京都","中央区","銀座","４丁目１４－１９第２カタヤマビル４Ｆ","1048138","104  ","銀座",0,0,1
13102,"ｶﾌﾞｼｷｶﾞｲｼﾔ ﾃﾞﾝﾂｳﾊﾟﾌﾞﾘﾂｸﾘﾚ-ｼﾖﾝｽﾞ","株式会社　電通パブリックリレーションズ","東京都","中央区","銀座","２丁目１６－７","1048210","104  ","銀座",0,0,1
13102,"ｶﾌﾞｼｷｶﾞｲｼﾔ ﾃﾞﾝﾂｳﾒｲﾃﾂｺﾐﾕﾆｹ-ｼﾖﾝｽﾞ","株式会社　電通名鉄コミュニケーションズ","東京都","中央区","銀座","２丁目６番７号電通恒産第３ビル","1048161","104  ","銀座",0,0,1
13102,"ｶﾌﾞｼｷｶﾞｲｼﾔ ﾄｳｷﾖｳﾆﾕ-ｽ ﾂｳｼﾝｼﾔ","株式会社　東京ニュース　通信社","東京都","中央区","銀座","７丁目１６番３号日鐵木換ビル","1048415","104  ","銀座",0,0,1
13102,"ｶﾌﾞｼｷｶﾞｲｼﾔ ﾄｳｾｲｼﾔ","株式会社　東成社","東京都","中央区","銀座","８丁目１０－７東成ビル５Ｆ","1048183","104  ","銀座",0,0,1
13102,"ｶﾌﾞｼｷｶﾞｲｼﾔ ﾆﾎﾝｹｲｻﾞｲｼﾔ","株式会社　日本経済社","東京都","中央区","銀座","７丁目１３－２０","1048176","104  ","銀座",0,0,1
13102,"ｶﾌﾞｼｷｶﾞｲｼﾔ ﾉｴﾋﾞｱ","株式会社　ノエビア","東京都","中央区","銀座","７丁目６－１５","1048208","104  ","銀座",0,0,1
13102,"ｶﾌﾞｼｷｶﾞｲｼﾔ ﾊｸﾋﾝｶﾝ","株式会社　博品館","東京都","中央区","銀座","８丁目８－１１","1048132","104  ","銀座",0,0,1
13102,"ｶﾌﾞｼｷｶﾞｲｼﾔ ﾌｼﾞﾔ","株式会社　不二家","東京都","中央区","銀座","７丁目２－１７","1048181","104  ","銀座",0,0,1
13102,"ｶﾌﾞｼｷｶﾞｲｼﾔ ﾎｳｹﾝ","株式会社　法研","東京都","中央区","銀座","１丁目１０－１","1048104","104  ","銀座",0,0,1
13102,"ｶﾌﾞｼｷｶﾞｲｼﾔ ﾏｶﾞｼﾞﾝﾊｳｽ","株式会社　マガジンハウス","東京都","中央区","銀座","３丁目１３－１０","1048003","104  ","銀座",0,0,1
