01224,"ｷﾘﾝﾋﾞ-ﾙ ｶﾌﾞｼｷｶﾞｲｼﾔ ﾁﾄｾｺｳｼﾞﾖｳ","キリンビール　株式会社　千歳工場","北海道","千歳市","上長都","９４９番地１","0668711","066  ","千歳",0,0,5
04101,"ｾﾝﾀﾞｲｼﾔｶｲﾎｹﾝﾋﾞﾖｳｲﾝ","仙台社会保険病院","宮城県","仙台市青葉区","堤町","３丁目１６－１","9818501","981  ","仙台北",0,0,5
04104,"ｺｳﾄﾞｺｳﾂｳｼﾖｳ ﾄｳﾎｸﾁﾎｳｾｲﾋﾞｷﾖｸ ｾﾝﾀﾞｲｶｾﾝｺｸﾄﾞｳｼﾞﾑｼﾖ","国土交通省　東北地方整備局　仙台河川国道事務所","宮城県","仙台市太白区","郡山","５丁目６番６号","9828566","982  ","新仙台",0,0,5
06203,"ﾙﾈｻｽﾔﾏｶﾞﾀｾﾐｺﾝﾀﾞｸﾀ ｶﾌﾞｼｷｶﾞｲｼﾔ ﾂﾙｵｶｺｳｼﾞﾖｳ","ルネサス山形セミコンダクタ　株式会社　鶴岡工場","山形県","鶴岡市","宝田","１丁目１１番７３号","9978522","997  ","鶴岡",0,0,5
06203,"ﾙﾈｻｽﾔﾏｶﾞﾀｾﾐｺﾝﾀﾞｸﾀ ｶﾌﾞｼｷｶﾞｲｼﾔ ﾂﾙｵｶﾋｶﾞｼｺｳｼﾞﾖｳ","ルネサス山形セミコンダクタ　株式会社　鶴岡東工場","山形県","鶴岡市","宝田","１丁目１４番３８号","9978523","997  ","鶴岡",0,0,5
12101,"ｶﾌﾞｼｷｶﾞｲｼﾔ ﾄｳｷﾖｳﾐﾂﾋﾞｼｷﾞﾝｺｳ ﾁﾊﾞｼﾃﾝ","株式会社　東京三菱銀行　千葉支店","千葉県","千葉市中央区","富士見","２丁目３－１","2608636","260  ","千葉中央",0,0,5
13102,"(ｶﾌﾞ) ｸﾎﾞﾀ ﾄｳｷﾖｳﾎﾝｼﾔ","株式会社　クボタ　東京本社","東京都","中央区","日本橋室町","３丁目１－３","1038310","103  ","日本橋",0,0,5
13102,"ｵｳｼﾞﾈﾋﾟｱ ｶﾌﾞｼｷｶﾞｲｼﾔ","王子ネピア　株式会社","東京都","中央区","銀座","５丁目１２－８号王子製紙１号館","1048319","104  ","晴海",0,0,5
13102,"ｵｼﾀﾆﾌｴﾙﾄｶｾｲ ｶﾌﾞｼｷｶﾞｲｼﾔ","押谷フエルト化成　株式会社","東京都","中央区","銀座","１丁目２０－１７","1048131","104  ","晴海",0,0,5
13102,"ｶﾌﾞｼｷｶｲｼﾔ ﾆﾂﾎﾟﾝｺ-ﾄﾞ-","株式会社　日本香堂","東京都","中央区","銀座","４丁目９－１","1048135","104  ","晴海",0,0,5
13102,"ｶﾌﾞｼｷｶﾞｲｼﾔ ｱｻﾋｺｳｺｸｼﾔ","株式会社　朝日広告社","東京都","中央区","銀座","７丁目１６－１２","1048313","104  ","晴海",0,0,5
13102,"ｶﾌﾞｼｷｶﾞｲｼﾔ ｴｲﾋﾞﾂｳｼﾝ","株式会社　栄美通信","東京都","中央区","銀座","１丁目１５－６ＫＮ銀座ビル","1048189","104  ","晴海",0,0,5
13102,"ｶﾌﾞｼｷｶﾞｲｼﾔ ｴﾈｵｽﾌﾛﾝﾃｲｱ","株式会社　ＥＮＥＯＳフロンティア","東京都","中央区","銀座","１丁目１０番６号","1048218","104  ","晴海",0,0,5
13102,"ｶﾌﾞｼｷｶﾞｲｼﾔ ｷﾌﾞﾝｼﾖｸﾋﾝ","株式会社　紀文食品","東京都","中央区","銀座","５丁目１５－１","1048101","104  ","晴海",0,0,5
13102,"ｶﾌﾞｼｷｶﾞｲｼﾔ ｷﾝﾀﾞｲｴｲｶﾞｼﾔ","株式会社　近代映画社","東京都","中央区","銀座","６丁目８－３尾張町ビル２階","1048168","104  ","晴海",0,0,5
13102,"ｶﾌﾞｼｷｶﾞｲｼﾔ ｼﾞｼﾞﾂｳｼﾝｼﾔ","株式会社　時事通信社","東京都","中央区","銀座","５丁目１５－８","1048178","104  ","晴海",0,0,5
13102,"ｶﾌﾞｼｷｶﾞｲｼﾔ ｼﾞﾔﾊﾟﾝ･ｴﾝﾀ-ﾃｲﾒﾝﾄ･ﾈﾂﾄﾜ-ｸ","株式会社　ジャパン・エンターテイメント・ネットワーク","東京都","中央区","銀座","６－１８－２銀座ＭＴＲ１１階","1048142","104  ","晴海",0,0,5
13102,"ｶﾌﾞｼｷｶﾞｲｼﾔ ｾﾞｱﾘｽﾞ","株式会社　ゼアリズ","東京都","中央区","銀座","４丁目１４－１９第２カタヤマビル４Ｆ","1048138","104  ","晴海",0,0,5
13102,"ｶﾌﾞｼｷｶﾞｲｼﾔ ﾃﾞﾝﾂｳﾊﾟﾌﾞﾘﾂｸﾘﾚ-ｼﾖﾝｽﾞ","株式会社　電通パブリックリレーションズ","東京都","中央区","銀座","２丁目１６－７","1048210","104  ","晴海",0,0,5
13102,"ｶﾌﾞｼｷｶﾞｲｼﾔ ﾃﾞﾝﾂｳﾒｲﾃﾂｺﾐﾕﾆｹ-ｼﾖﾝｽﾞ","株式会社　電通名鉄コミュニケーションズ","東京都","中央区","銀座","２丁目６番７号電通恒産第３ビル","1048161","104  ","晴海",0,0,5
13102,"ｶﾌﾞｼｷｶﾞｲｼﾔ ﾄｳｷﾖｳﾆﾕ-ｽ ﾂｳｼﾝｼﾔ","株式会社　東京ニュース　通信社","東京都","中央区","銀座","７丁目１６番３号日鐵木換ビル","1048415","104  ","晴海",0,0,5
13102,"ｶﾌﾞｼｷｶﾞｲｼﾔ ﾄｳｾｲｼﾔ","株式会社　東成社","東京都","中央区","銀座","８丁目１０－７東成ビル５Ｆ","1048183","104  ","晴海",0,0,5
13102,"ｶﾌﾞｼｷｶﾞｲｼﾔ ﾆﾎﾝｹｲｻﾞｲｼﾔ","株式会社　日本経済社","東京都","中央区","銀座","７丁目１３－２０","1048176","104  ","晴海",0,0,5
13102,"ｶﾌﾞｼｷｶﾞｲｼﾔ ﾉｴﾋﾞｱ","株式会社　ノエビア","東京都","中央区","銀座","７丁目６－１５","1048208","104  ","晴海",0,0,5
13102,"ｶﾌﾞｼｷｶﾞｲｼﾔ ﾊｸﾋﾝｶﾝ","株式会社　博品館","東京都","中央区","銀座","８丁目８－１１","1048132","104  ","晴海",0,0,5
13102,"ｶﾌﾞｼｷｶﾞｲｼﾔ ﾌｼﾞﾔ","株式会社　不二家","東京都","中央区","銀座","７丁目２－１７","1048181","104  ","晴海",0,0,5
13102,"ｶﾌﾞｼｷｶﾞｲｼﾔ ﾎｳｹﾝ","株式会社　法研","東京都","中央区","銀座","１丁目１０－１","1048104","104  ","晴海",0,0,5
13102,"ｶﾌﾞｼｷｶﾞｲｼﾔ ﾏｶﾞｼﾞﾝﾊｳｽ","株式会社　マガジンハウス","東京都","中央区","銀座","３丁目１３－１０","1048003","104  ","晴海",0,0,5
13102,"ｶﾌﾞｼｷｶﾞｲｼﾔ ﾏﾂｻﾞｶﾔ ｷﾞﾝｻﾞﾃﾝ","株式会社　松坂屋　銀座店","東京都","中央区","銀座","６丁目１０－１","1048166","104  ","晴海",0,0,5
13102,"ｶﾌﾞｼｷｶﾞｲｼﾔ ﾏﾂｻﾞｶﾔ ﾎｳｼﾞﾝｶﾞｲｼﾖｳﾄｳｶﾂﾌﾞ","株式会社　松坂屋　法人外商統括部","東京都","中央区","銀座","５丁目９－９松坂屋第二別館","1048163","104  ","晴海",0,0,5
13102,"ｶﾌﾞｼｷｶﾞｲｼﾔ ﾏﾂﾔ ｷﾞﾝｻﾞﾎﾝﾃﾝ","株式会社　松屋　銀座本店","東京都","中央区","銀座","３丁目６－１","1048130","104  ","晴海",0,0,5
13102,"ｶﾌﾞｼｷｶﾞｲｼﾔ ﾐﾂｺｼ ｷﾞﾝｻﾞﾃﾝ","株式会社　三越　銀座店","東京都","中央区","銀座","４丁目６－１６","1048212","104  ","晴海",0,0,5
13102,"ｶﾌﾞｼｷｶﾞｲｼﾔ ﾖﾐｳﾘｺｳｺｸｼﾔ","株式会社　読売広告社","東京都","中央区","銀座","１丁目８－１４","1048164","104  ","晴海",0,0,5
13102,"ｶﾌﾞｼｷｶﾞｲｼﾔ ﾘｺ- ｷﾞﾝｻﾞｼﾞｷﾞﾖｳｼﾖ","株式会社　リコー　銀座事業所","東京都","中央区","銀座","６丁目１４－６リコー三愛ビル","1048155","104  ","晴海",0,0,5
13102,"ｶﾌﾞｼｷｶﾞｲｼﾔ ﾘｺ- ﾎﾝｼﾔｼﾞｷﾞﾖｳｼﾖ","株式会社　リコー　本社事業所","東京都","中央区","銀座","８丁目１３－１リコービル","1048222","104  ","晴海",0,0,5
13102,"ｶﾌﾞｼｷｶﾞｲｼﾔ ﾜｺｳ","株式会社　和光","東京都","中央区","銀座","４丁目５－１１","1048105","104  ","晴海",0,0,5
13102,"ｶﾌﾞｼｷｶﾞｲｼﾔ ﾜｼﾝﾄﾝｸﾂﾃﾝ","株式会社　ワシントン靴店","東京都","中央区","銀座","５丁目７－７","1048102","104  ","晴海",0,0,5
13102,"ｷﾀﾉｹﾝｾﾂ ｶﾌﾞｼｷｶﾞｲｼﾔ ﾄｳｷﾖｳﾎﾝｼﾔ","北野建設　株式会社　東京本社","東京都","中央区","銀座","１丁目９番２号","1048116","104  ","晴海",0,0,5
13102,"ｷﾖｳﾄﾞｳﾋﾟ-ｱ-ﾙ ｶﾌﾞｼｷｶﾞｲｼﾔ","共同ピーアール　株式会社","東京都","中央区","銀座","７丁目２－２２同和ビル４Ｆ","1048158","104  ","晴海",0,0,5
13102,"ｷﾖｳﾜﾋﾟ-･ｱ-ﾙ ｶﾌﾞｼｷｶﾞｲｼﾔ","共和ピー・アール　株式会社","東京都","中央区","銀座","７丁目２番２２号同和ビル５Ｆ","1048206","104  ","晴海",0,0,5
13102,"ｺｳｴｷｻﾞｲﾀﾞﾝﾎｳｼﾞﾝ ﾄﾐﾝｹﾞｷｼﾞﾖｳ","公益財団法人　都民劇場","東京都","中央区","銀座","５丁目１－７数寄屋橋ビル６階","1048077","104  ","晴海",0,0,5
13102,"ｺｳｺｸｼﾔ ｶﾌﾞｼｷｶﾞｲｼﾔ","廣告社　株式会社","東京都","中央区","銀座","６丁目８番７号交詢ビル","1048111","104  ","晴海",0,0,5
13102,"ｺﾞｳﾄﾞｳｼﾕｾｲ ｶﾌﾞｼｷｶﾞｲｼﾔ","合同酒精　株式会社","東京都","中央区","銀座","６丁目２番１０号","1048162","104  ","晴海",0,0,5
13102,"ｼﾔﾀﾞﾝﾎｳｼﾞﾝ ｺｳｶｲｹｲｴｲｼﾄﾞｳｷﾖｳｶｲ","社団法人　公開経営指導協会","東京都","中央区","銀座","２丁目１０－１８東京都中小企業会館６Ｆ","1048114","104  ","晴海",0,0,5
13102,"ｽﾄﾂｸﾌﾟﾗｽ","ストックプラス","東京都","中央区","銀座","５丁目１５－１南海東京ビル１Ｆ","1048238","104  ","晴海",0,0,5
13102,"ｾｲｺ-ﾎ-ﾙﾃﾞｲﾝｸﾞｽ ｶﾌﾞｼｷｶﾞｲｼﾔ","セイコーホールディングス　株式会社","東京都","中央区","銀座","４丁目５－１１","1048129","104  ","晴海",0,0,5
13102,"ｿﾏ-ﾙ ｶﾌﾞｼｷｶﾞｲｼﾔ","ソマール　株式会社","東京都","中央区","銀座","４丁目１１－２","1048109","104  ","晴海",0,0,5
13102,"ﾀﾞｲﾜｼﾞﾄﾞｳｼﾔｺｳﾂｳ ｶﾌﾞｼｷｶｲｼﾔ","大和自動車交通　株式會社","東京都","中央区","銀座","１丁目９番７号","1048117","104  ","晴海",0,0,5
13102,"ﾁﾕｳｴﾂﾊﾟﾙﾌﾟｺｳｷﾞﾖｳ ｶﾌﾞｼｷｶﾞｲｼﾔ","中越パルプ工業　株式会社","東京都","中央区","銀座","２丁目１０番６号","1048124","104  ","晴海",0,0,5
13102,"ﾁﾕｳｵｳｾﾝｺｳ ｶﾌﾞｼｷｶﾞｲｼﾔ","中央宣興　株式会社","東京都","中央区","銀座","２丁目６－１","1048211","104  ","晴海",0,0,5
13102,"ﾁﾖﾀﾞｺｳﾊﾝ ｶﾌﾞｼｷｶﾞｲｼﾔ","千代田工販　株式会社","東京都","中央区","銀座","７丁目１３－８第２丸高ビル３Ｆ","1048115","104  ","晴海",0,0,5
13102,"ﾃﾞﾝｹﾞﾝｶｲﾊﾂ ｶﾌﾞｼｷｶﾞｲｼﾔ","電源開発　株式会社","東京都","中央区","銀座","６丁目１５－１","1048165","104  ","晴海",0,0,5
13102,"ﾄｳｴｲ ｶﾌﾞｼｷｶﾞｲｼﾔ","東映　株式会社","東京都","中央区","銀座","３丁目２－１７","1048108","104  ","晴海",0,0,5
13102,"ﾄｳｷﾖｳｶｲｼﾞﾖｳﾆﾁﾄﾞｳｶｻｲﾎｹﾝ ｶﾌﾞｼｷｶﾞｲｼﾔ","東京海上日動火災保険　株式会社","東京都","中央区","銀座","５丁目１３番７号","1048151","104  ","晴海",0,0,5
13102,"ﾄｳｷﾖｳﾃﾞﾝﾘﾖｸ ｶﾌﾞｼｷｶﾞｲｼﾔ ｷﾞﾝｻﾞｼﾃﾝ","東京電力　株式会社　銀座支店","東京都","中央区","銀座","３丁目３－１８","1048133","104  ","晴海",0,0,5
13102,"ﾆﾂﾎﾟｳ ｶﾌﾞｼｷｶﾞｲｼﾔ","日放　株式会社","東京都","中央区","銀座","６丁目１７番２号（日産ビルネット館－２）","1048167","104  ","晴海",0,0,5
13102,"ﾆﾂﾎﾟﾝﾈﾝｷﾝｷｺｳ ﾁﾕｳｵｳﾈﾝｷﾝｼﾞﾑｼﾖ","日本年金機構　中央年金事務所","東京都","中央区","銀座","７丁目１３－８第２丸高ビル","1048175","104  ","晴海",0,0,5
13102,"ﾊﾝﾜｺｳｷﾞﾖｳ ｶﾌﾞｼｷｶｲｼﾔ","阪和興業　株式会社","東京都","中央区","銀座","６丁目１８番２号銀座ＭＴＲビル","1048429","104  ","晴海",0,0,5
13102,"ﾌｸﾄｸﾁﾖｳｼﾕﾙｲ ｶﾌﾞｼｷｶﾞｲｼﾔ","福徳長酒類　株式会社","東京都","中央区","銀座","６丁目２－１０","1048205","104  ","晴海",0,0,5
13102,"ﾌｼﾞｶｻｲｶｲｼﾞﾖｳﾎｹﾝ ｶﾌﾞｼｷｶﾞｲｼﾔ","富士火災海上保険　株式会社","東京都","中央区","銀座","２丁目１２－１８","1048122","104  ","晴海",0,0,5
13102,"ﾐﾂﾋﾞｼﾕｴﾌｼﾞｴｲﾘ-ｽ ｶﾌﾞｼｷｶﾞｲｼﾔ","三菱ＵＦＪリース　株式会社","東京都","中央区","新川","１丁目２８－３８東京ダイヤビルディング２号館６Ｆ","1048253","104  ","晴海",0,0,5
13102,"ﾔﾏﾄｳﾝﾕ ｶﾌﾞｼｷｶﾞｲｼﾔ","ヤマト運輸　株式会社","東京都","中央区","銀座","２丁目１６番１０号","1048125","104  ","晴海",0,0,5
13102,"ﾕ-.ｱｲ.ﾋﾟ-ｴｲｶﾞ","ＵＩＰ映画","東京都","中央区","銀座","５丁目１４－１（銀座クイント）","1048123","104  ","晴海",0,0,5
