01204,"ｶﾌﾞｼｷｶﾞｲｼﾔ ｴﾇｼ-ﾏﾂｸ","株式会社　エヌシーマック","北海道","旭川市","五条通","８丁目左２号","0708511","070  ","旭川中央",0,0,5
03201,"ｻﾞｲﾀﾞﾝﾎｳｼﾞﾝ ｲﾜﾃｹﾝﾖﾎﾞｳｲｶﾞｸｷﾖｳｶｲ","財団法人　岩手県予防医学協会","岩手県","盛岡市","永井","１４地割４２","0208585","020  ","盛岡中央",0,0,5
03201,"ｼﾔﾀﾞﾝﾎｳｼﾞﾝ ｲﾜﾃｹﾝｲｼｶｲ","社団法人　岩手県医師会","岩手県","盛岡市","菜園","２丁目８番２０号","0208584","020  ","盛岡中央",0,0,5
11103,"ｺｸ-ﾝｼﾝﾄｼﾝ","コクーン新都心","埼玉県","さいたま市大宮区","吉敷町","４丁目２６７－２","3309559","330  ","さいたま新都心",0,0,5
11103,"ｶﾌﾞｼｷｶﾞｲｼﾔ ｸﾏｶﾞｲｸﾞﾐ ｷﾀｶﾝﾄｳｼﾃﾝ","株式会社　熊谷組　北関東支店","埼玉県","さいたま市大宮区","大成町","２丁目２２６","3309585","331  ","さいたま新都心",0,0,5
11201,"ｻｲﾀﾏｹﾝｼﾝﾖｳﾎｼﾖｳｷﾖｳｶｲ ｶﾜｺﾞｴｼｼﾖ","埼玉県信用保証協会　川越支所","埼玉県","川越市","仙波町","２丁目１９－６","3508508","350  ","川越",0,0,5
12237,"ｻﾝﾑｼ ﾊｽﾇﾏｼﾕﾂﾁﾖｳｼﾞﾖ","山武市　蓮沼出張所","千葉県","山武市","蓮沼ハ","４８３２番地１","2891892","28918","蓮沼",0,0,5
13101,"ﾆﾎﾝｱｼﾞｱﾄｳｼ ｶﾌﾞｼｷｶﾞｲｼﾔ","日本アジア投資　株式会社","東京都","千代田区","永田町","２丁目１３－５","1008972","100  ","銀座",0,0,5
13101,"ﾓﾘ･ﾊﾏﾀﾞﾏﾂﾓﾄﾎｳﾘﾂｼﾞﾑｼﾖ","森・濱田松本法律事務所","東京都","千代田区","丸の内","１丁目６－５","1008222","100  ","銀座",0,0,5
13101,"ｶｶﾞﾃﾞﾝｼ ｶﾌﾞｼｷｶﾞｲｼﾔ ｶﾝﾘﾎﾝﾌﾞ","加賀電子　株式会社　管理本部","東京都","千代田区","神田松永町","１９－２－１０Ｆ","1018629","101  ","神田",0,0,5
13101,"ｶｶﾞﾃﾞﾝｼ ｶﾌﾞｼｷｶﾞｲｼﾔ ｺﾝﾎﾟ-ﾈﾝﾄﾋﾞｼﾞﾈｽﾕﾆﾂﾄ","加賀電子　株式会社　コンポーネントビジネスユニット","東京都","千代田区","神田松永町","１９－２－８Ｆ","1018628","101  ","神田",0,0,5
13101,"ｶｶﾞﾃﾞﾝｼ ｶﾌﾞｼｷｶﾞｲｼﾔ ﾌﾟﾛﾓ-ｼﾖﾝﾋﾞｼﾞﾈｽﾕﾆﾂﾄ","加賀電子　株式会社　プロモーションビジネスユニット","東京都","千代田区","神田松永町","１９－２－５Ｆ","1018627","101  ","神田",0,0,5
13101,"ﾆﾎﾝｱｼﾞｱﾄｳｼ ｶﾌﾞｼｷｶｲｼﾔ","日本アジア投資　株式会社","東京都","千代田区","麹町","２丁目４麹町鶴屋八幡ビル７階","1028518","102  ","麹町",0,0,5
13102,"ｶｺﾞﾒ ｶﾌﾞｼｷｶﾞｲｼﾔ ﾄｳｷﾖｳｼｼﾔ","カゴメ　株式会社　東京支社","東京都","中央区","東日本橋","２丁目２０－７","1038462","103  ","日本橋",0,0,5
13102,"ﾉﾑﾗｼﾖｳｹﾝ (ｶﾌﾞ)","野村證券　（株）","東京都","中央区","日本橋","１丁目９－１（横浜中央郵便局私書箱第５号）","2208604","103  ","横浜中央",1,0,5
13102,"ｶｶﾞﾃﾞﾝｼ ｶﾌﾞｼｷｶﾞｲｼﾔ ｴﾝﾀ-ﾃｲﾒﾝﾄﾋﾞｼﾞﾈｽﾕﾆﾂﾄ","加賀電子　株式会社　エンターテイメントＢＵ","東京都","中央区","八丁堀","３丁目２７番１０号７Ｆ","1048527","104  ","晴海",0,0,5
13102,"ｶｶﾞﾃﾞﾝｼ ｶﾌﾞｼｷｶﾞｲｼﾔ ﾏﾆﾌｱｸﾁﾔﾋﾞｼﾞﾈｽﾕﾆﾂﾄ","加賀電子　株式会社　マニファクチャＢＵ","東京都","中央区","八丁堀","３丁目２７番１０号２Ｆ","1048526","104  ","晴海",0,0,5
13102,"ｶﾈﾏﾂｴﾚｸﾄﾛﾆｸｽ ｶﾌﾞｼｷｶﾞｲｼﾔ","兼松エレクトロニクス　株式会社","東京都","中央区","京橋","２丁目１７－５兼松ビル別館","1048338","104  ","晴海",0,0,5
13103,"ｶﾌﾞｼｷｶﾞｲｼﾔ ﾌｿｳｼﾔ","株式会社　扶桑社","東京都","港区","海岸","１丁目１５－１","1058070","105  ","銀座",0,0,5
13103,"ﾄﾞｸﾘﾂｷﾞﾖｳｾｲﾎｳｼﾞﾝ ﾌｸｼｲﾘﾖｳｷｺｳ","独立行政法人　福祉医療機構","東京都","港区","虎ノ門","４丁目３－１３秀和神谷町ビル９Ｆ","1058486","105  ","芝",0,0,5
13103,"ﾃｸﾏﾄﾘﾂｸｽ ｶﾌﾞｼｷｶﾞｲｼﾔ","テクマトリックス　株式会社","東京都","港区","高輪","４丁目１０－８京急第７ビル","1088588","108  ","高輪",0,0,5
13105,"ｹｲﾎｸｶﾞｸｴﾝ","京北学園","東京都","文京区","白山","５丁目２８－２５","1128607","112  ","小石川",0,0,5
13109,"ﾆﾂﾎﾟﾝﾍﾟｲﾝﾄ ｶﾌﾞｼｷｶﾞｲｼﾔ","日本ペイント　（株）","東京都","品川区","南品川","４丁目１－１５","1408675","140  ","品川",0,0,5
13109,"ﾆﾂﾎﾟﾝﾍﾟｲﾝﾄﾊﾝﾊﾞｲ ｶﾌﾞｼｷｶﾞｲｼﾔ","日本ペイント販売　株式会社","東京都","品川区","南品川","４－７－１６","1408677","140  ","品川",0,0,5
14102,"ｶﾅｶﾞﾜﾀﾞｲｶﾞｸ","神奈川大学","神奈川県","横浜市神奈川区","六角橋","３丁目２７－１","2218686","221  ","横浜中央",0,0,5
14102,"ｶﾌﾞｼｷｶﾞｲｼﾔ ｲﾝﾃﾂｸ","株式会社　インテック","神奈川県","横浜市神奈川区","新浦島町","１丁目１－２５","2218520","221  ","横浜中央",0,0,5
14102,"ｶﾌﾞｼｷｶﾞｲｼﾔ ｲﾝﾃﾂｸｺｽﾓｾﾝﾀ-","株式会社　インテックコスモセンター","神奈川県","横浜市神奈川区","新浦島町","１丁目１－２５テクノウェイブ１００","2218522","221  ","横浜中央",0,0,5
