13104,"160  ","1600002","ﾄｳｷｮｳﾄ","ｼﾝｼﾞｭｸｸ","ﾖﾂﾔｻｶﾏﾁ","東京都","新宿区","四谷坂町",0,0,0,0,1,5
15103,"950  ","9500950","ﾆｲｶﾞﾀｹﾝ","ﾆｲｶﾞﾀｼﾁｭｳｵｳｸ","ﾄﾔﾉﾐﾅﾐ","新潟県","新潟市中央区","鳥屋野南",0,0,1,0,1,2
23114,"459  ","4598012","ｱｲﾁｹﾝ","ﾅｺﾞﾔｼﾐﾄﾞﾘｸ","ｲﾊﾞﾗﾀﾞﾆﾔﾏ","愛知県","名古屋市緑区","茨谷山",0,0,0,0,1,3
23114,"459  ","4598013","ｱｲﾁｹﾝ","ﾅｺﾞﾔｼﾐﾄﾞﾘｸ","ﾀｶﾈﾔﾏ","愛知県","名古屋市緑区","高根山",0,0,1,0,1,3
23114,"459  ","4598014","ｱｲﾁｹﾝ","ﾅｺﾞﾔｼﾐﾄﾞﾘｸ","ﾁｭｳｼﾞﾔﾏ","愛知県","名古屋市緑区","忠治山",0,0,0,0,1,3
23114,"459  ","4598015","ｱｲﾁｹﾝ","ﾅｺﾞﾔｼﾐﾄﾞﾘｸ","ﾍﾞｯｼｮﾔﾏ","愛知県","名古屋市緑区","別所山",0,0,0,0,1,3
23114,"459  ","4598016","ｱｲﾁｹﾝ","ﾅｺﾞﾔｼﾐﾄﾞﾘｸ","ﾐﾅﾐｵｵﾀﾞｶ","愛知県","名古屋市緑区","南大高",0,0,1,0,1,3
23501,"44401","4440117","ｱｲﾁｹﾝ","ﾇｶﾀｸﾞﾝｺｳﾀﾁｮｳ","ｱｲﾐ","愛知県","額田郡幸田町","相見",0,1,0,0,1,3
27113,"555  ","5550031","ｵｵｻｶﾌ","ｵｵｻｶｼﾆｼﾖﾄﾞｶﾞﾜｸ","ﾃﾞｷｼﾞﾏ","大阪府","大阪市西淀川区","出来島",0,0,1,0,1,5
35202,"75902","7590213","ﾔﾏｸﾞﾁｹﾝ","ｳﾍﾞｼ","ｸﾛｲｼｷﾀ","山口県","宇部市","黒石北",0,0,1,0,1,2
35215,"745  ","7450856","ﾔﾏｸﾞﾁｹﾝ","ｼｭｳﾅﾝｼ","ｳﾗﾔﾏ","山口県","周南市","浦山",0,0,1,0,1,2
35215,"745  ","7450864","ﾔﾏｸﾞﾁｹﾝ","ｼｭｳﾅﾝｼ","ｷﾀﾔﾏ","山口県","周南市","北山",0,0,1,0,1,2
35215,"745  ","7450865","ﾔﾏｸﾞﾁｹﾝ","ｼｭｳﾅﾝｼ","ﾊｽｶﾞｴｷ","山口県","周南市","蓮ヶ浴",0,0,1,0,1,2
35215,"745  ","7450869","ﾔﾏｸﾞﾁｹﾝ","ｼｭｳﾅﾝｼ","ﾋｶﾞｼｷﾀﾔﾏ","山口県","周南市","東北山",0,0,1,0,1,2
38207,"795  ","7950081","ｴﾋﾒｹﾝ","ｵｵｽﾞｼ","ｽｹﾞﾀﾁｮｳｽｹﾞﾀｺｳ","愛媛県","大洲市","菅田町菅田甲",0,0,0,1,1,5
38207,"795  ","7950081","ｴﾋﾒｹﾝ","ｵｵｽﾞｼ","ｽｹﾞﾀﾁｮｳｽｹﾞﾀﾍｲ","愛媛県","大洲市","菅田町菅田丙",0,0,0,1,1,5
38207,"795  ","7950069","ｴﾋﾒｹﾝ","ｵｵｽﾞｼ","ﾆｲﾔ","愛媛県","大洲市","新谷",0,0,0,0,1,5
38207,"795  ","7950070","ｴﾋﾒｹﾝ","ｵｵｽﾞｼ","ﾆｲﾔﾍｲ","愛媛県","大洲市","新谷丙",0,0,0,0,1,5
40349,"81123","8112318","ﾌｸｵｶｹﾝ","ｶｽﾔｸﾞﾝｶｽﾔﾏﾁ","ﾄﾊﾞﾗﾋｶﾞｼ","福岡県","糟屋郡粕屋町","戸原東",0,0,1,0,1,2
