05207,"012  ","0120869","ｱｷﾀｹﾝ","ﾕｻﾞﾜｼ","ﾜｶﾊﾞﾏﾁ","秋田県","湯沢市","若葉町",0,0,0,0,1,5
22206,"411  ","4110030","ｼｽﾞｵｶｹﾝ","ﾐｼﾏｼ","ﾆｼｱｻﾋｶﾞｵｶﾁｮｳ","静岡県","三島市","西旭ケ丘町",0,0,0,0,1,5
23105,"450  ","4506390","ｱｲﾁｹﾝ","ﾅｺﾞﾔｼﾅｶﾑﾗｸ","ﾒｲｴｷｼﾞｪｲﾋﾟｰﾀﾜｰﾅｺﾞﾔ(ﾁｶｲ･ｶｲｿｳﾌﾒｲ)","愛知県","名古屋市中村区","名駅ＪＰタワー名古屋（地階・階層不明）",0,0,0,0,1,5
23105,"450  ","4506301","ｱｲﾁｹﾝ","ﾅｺﾞﾔｼﾅｶﾑﾗｸ","ﾒｲｴｷｼﾞｪｲﾋﾟｰﾀﾜｰﾅｺﾞﾔ(1ｶｲ)","愛知県","名古屋市中村区","名駅ＪＰタワー名古屋（１階）",0,0,0,0,1,5
23105,"450  ","4506302","ｱｲﾁｹﾝ","ﾅｺﾞﾔｼﾅｶﾑﾗｸ","ﾒｲｴｷｼﾞｪｲﾋﾟｰﾀﾜｰﾅｺﾞﾔ(2ｶｲ)","愛知県","名古屋市中村区","名駅ＪＰタワー名古屋（２階）",0,0,0,0,1,5
23105,"450  ","4506303","ｱｲﾁｹﾝ","ﾅｺﾞﾔｼﾅｶﾑﾗｸ","ﾒｲｴｷｼﾞｪｲﾋﾟｰﾀﾜｰﾅｺﾞﾔ(3ｶｲ)","愛知県","名古屋市中村区","名駅ＪＰタワー名古屋（３階）",0,0,0,0,1,5
23105,"450  ","4506304","ｱｲﾁｹﾝ","ﾅｺﾞﾔｼﾅｶﾑﾗｸ","ﾒｲｴｷｼﾞｪｲﾋﾟｰﾀﾜｰﾅｺﾞﾔ(4ｶｲ)","愛知県","名古屋市中村区","名駅ＪＰタワー名古屋（４階）",0,0,0,0,1,5
23105,"450  ","4506305","ｱｲﾁｹﾝ","ﾅｺﾞﾔｼﾅｶﾑﾗｸ","ﾒｲｴｷｼﾞｪｲﾋﾟｰﾀﾜｰﾅｺﾞﾔ(5ｶｲ)","愛知県","名古屋市中村区","名駅ＪＰタワー名古屋（５階）",0,0,0,0,1,5
23105,"450  ","4506306","ｱｲﾁｹﾝ","ﾅｺﾞﾔｼﾅｶﾑﾗｸ","ﾒｲｴｷｼﾞｪｲﾋﾟｰﾀﾜｰﾅｺﾞﾔ(6ｶｲ)","愛知県","名古屋市中村区","名駅ＪＰタワー名古屋（６階）",0,0,0,0,1,5
23105,"450  ","4506307","ｱｲﾁｹﾝ","ﾅｺﾞﾔｼﾅｶﾑﾗｸ","ﾒｲｴｷｼﾞｪｲﾋﾟｰﾀﾜｰﾅｺﾞﾔ(7ｶｲ)","愛知県","名古屋市中村区","名駅ＪＰタワー名古屋（７階）",0,0,0,0,1,5
23105,"450  ","4506308","ｱｲﾁｹﾝ","ﾅｺﾞﾔｼﾅｶﾑﾗｸ","ﾒｲｴｷｼﾞｪｲﾋﾟｰﾀﾜｰﾅｺﾞﾔ(8ｶｲ)","愛知県","名古屋市中村区","名駅ＪＰタワー名古屋（８階）",0,0,0,0,1,5
