01228,"074  ","0740015","ﾎｯｶｲﾄﾞｳ","ﾌｶｶﾞﾜｼ","ﾒﾑ(ﾒﾑ)","北海道","深川市","メム（芽生）",0,0,0,0,2,6
03201,"02841","0284131","ｲﾜﾃｹﾝ","ﾓﾘｵｶｼ","ﾀﾏﾔﾏｸｲﾓﾀﾞ","岩手県","盛岡市","玉山区芋田",0,1,0,0,2,6
03201,"02002","0200204","ｲﾜﾃｹﾝ","ﾓﾘｵｶｼ","ﾀﾏﾔﾏｸｳｴﾀﾞ","岩手県","盛岡市","玉山区上田",0,1,0,0,2,6
03201,"02841","0284135","ｲﾜﾃｹﾝ","ﾓﾘｵｶｼ","ﾀﾏﾔﾏｸｶﾜｻｷ","岩手県","盛岡市","玉山区川崎",0,1,0,0,2,6
03201,"02002","0200203","ｲﾜﾃｹﾝ","ﾓﾘｵｶｼ","ﾀﾏﾔﾏｸｶﾜﾏﾀ","岩手県","盛岡市","玉山区川又",0,1,0,0,2,6
03201,"02841","0284125","ｲﾜﾃｹﾝ","ﾓﾘｵｶｼ","ﾀﾏﾔﾏｸｺｳﾏ","岩手県","盛岡市","玉山区好摩",0,1,0,0,2,6
03201,"02841","0284132","ｲﾜﾃｹﾝ","ﾓﾘｵｶｼ","ﾀﾏﾔﾏｸｼﾌﾞﾀﾐ","岩手県","盛岡市","玉山区渋民",0,1,0,0,2,6
03201,"02841","0284134","ｲﾜﾃｹﾝ","ﾓﾘｵｶｼ","ﾀﾏﾔﾏｸｼﾓﾀﾞ","岩手県","盛岡市","玉山区下田",0,1,0,0,2,6
03201,"02002","0200202","ｲﾜﾃｹﾝ","ﾓﾘｵｶｼ","ﾀﾏﾔﾏｸﾀﾏﾔﾏ","岩手県","盛岡市","玉山区玉山",0,1,0,0,2,6
03201,"02841","0284122","ｲﾜﾃｹﾝ","ﾓﾘｵｶｼ","ﾀﾏﾔﾏｸﾃﾗﾊﾞﾔｼ","岩手県","盛岡市","玉山区寺林",0,1,0,0,2,6
03201,"02841","0284121","ｲﾜﾃｹﾝ","ﾓﾘｵｶｼ","ﾀﾏﾔﾏｸﾅｶﾞｲ","岩手県","盛岡市","玉山区永井",0,1,0,0,2,6
03201,"02841","0284124","ｲﾜﾃｹﾝ","ﾓﾘｵｶｼ","ﾀﾏﾔﾏｸﾊﾞﾊﾞ","岩手県","盛岡市","玉山区馬場",0,1,0,0,2,6
03201,"02002","0200201","ｲﾜﾃｹﾝ","ﾓﾘｵｶｼ","ﾀﾏﾔﾏｸﾋﾉﾄ","岩手県","盛岡市","玉山区日戸",0,1,0,0,2,6
03201,"02841","0284123","ｲﾜﾃｹﾝ","ﾓﾘｵｶｼ","ﾀﾏﾔﾏｸﾏｷﾎﾞﾘ","岩手県","盛岡市","玉山区巻堀",0,1,0,0,2,6
03201,"02841","0284136","ｲﾜﾃｹﾝ","ﾓﾘｵｶｼ","ﾀﾏﾔﾏｸﾏﾂﾅｲ","岩手県","盛岡市","玉山区松内",0,1,0,0,2,6
03201,"02841","0284133","ｲﾜﾃｹﾝ","ﾓﾘｵｶｼ","ﾀﾏﾔﾏｸﾓﾝｾﾞﾝｼﾞ","岩手県","盛岡市","玉山区門前寺",0,1,0,0,2,6
03201,"02827","0282711","ｲﾜﾃｹﾝ","ﾓﾘｵｶｼ","ﾀﾏﾔﾏｸﾔﾌﾞｶﾜ","岩手県","盛岡市","玉山区薮川",0,1,0,0,2,6
08204,"306  ","3060001","ｲﾊﾞﾗｷｹﾝ","ｺｶﾞｼ","ｼｽﾞｶﾁｮｳ","茨城県","古河市","静町",0,0,0,0,2,6
16202,"93303","9330355","ﾄﾔﾏｹﾝ","ﾀｶｵｶｼ","ｲｼﾂﾞﾂﾐ","富山県","高岡市","石堤",0,0,0,0,2,6
34215,"73721","7372112","ﾋﾛｼﾏｹﾝ","ｴﾀｼﾞﾏｼ","ｴﾀｼﾞﾏﾁｮｳｺｳﾉｳﾗ","広島県","江田島市","江田島町幸之浦",0,0,0,0,2,6
