09201,"ｶﾜﾁﾁｲｷｼﾞﾁｾﾝﾀ-","河内地域自治センター","栃木県","宇都宮市","白沢町","５００","3291195","32911","河内",0,0,5
11227,"ﾄｳﾖｳﾀﾞｲｶﾞｸ ｱｻｶｺｳｼﾔ","東洋大学　朝霞校舎","埼玉県","朝霞市","岡","２丁目１１－１０","3518510","351  ","朝霞",0,0,5
13101,"ｼﾖｳﾋｼﾔﾁﾖｳ","消費者庁","東京都","千代田区","永田町","２丁目１１－１山王パークタワー","1006178","10000","銀座",0,0,5
13101,"ﾜｲｹｲｹｲ ｶﾌﾞｼｷｶﾞｲｼﾔ","ＹＫＫ　株式会社","東京都","千代田区","外神田","１－１８－１３秋葉原ダイビル","1018642","101  ","神田",0,0,5
13101,"ｶﾌﾞｼｷｶﾞｲｼﾔ ｼﾃｲｼﾕﾂﾊﾟﾝ","株式会社　シティ出版","東京都","千代田区","九段北","４丁目１－１３ニュー原鉄ビル２Ｆ","1028301","102  ","麹町",0,0,5
13102,"ｺｻｶｲｶｶﾞｸｺｳｷﾞﾖｳ (ｶﾌﾞ)","小堺化学工業　株式会社","東京都","中央区","日本橋富沢町","２－６","1038313","103  ","日本橋",0,0,5
13102,"ｻﾝｾｲﾌﾞﾂｻﾝ ｶﾌﾞｼｷｶﾞｲｼﾔ","三省物産　株式会社","東京都","中央区","日本橋室町","４丁目３－１８東京建物室町ビル","1038339","103  ","日本橋",0,0,5
13102,"ｶﾌﾞｼｷｶﾞｲｼﾔ ﾁﾕｳｵｳｺｳﾛﾝｼﾔ","株式会社　中央公論社","東京都","中央区","京橋","２丁目８－７","1048320","104  ","晴海",0,0,5
13102,"ｶﾌﾞｼｷｶﾞｲｼﾔ ﾊﾟｲﾛﾂﾄｺ-ﾎﾟﾚ-ｼﾖﾝ","株式会社　パイロットコーポレーション","東京都","中央区","京橋","２丁目６－２１","1048304","104  ","晴海",0,0,5
13103,"ﾓﾘﾑﾗｼﾖｳｼﾞ ｶﾌﾞｼｷｶﾞｲｼﾔ","森村商事　株式会社","東京都","港区","虎ノ門","１丁目３－１","1058451","105  ","芝",0,0,5
13104,"ｴﾌﾟｿﾝﾊﾝﾊﾞｲ ｶﾌﾞｼｷｶﾞｲｼﾔ","エプソン販売　株式会社","東京都","新宿区","西新宿","６丁目２４－１西新宿三井ビルディング２４Ｆ","1608324","160  ","新宿",0,0,5
