05201,"010  ","0100052","ｱｷﾀｹﾝ","ｱｷﾀｼ","ｼﾓｷﾀﾃﾔﾅｷﾞﾀﾃ","秋田県","秋田市","下北手柳館",0,1,0,0,1,5
08208,"301  ","3010034","ｲﾊﾞﾗｷｹﾝ","ﾘｭｳｶﾞｻｷｼ","ｺﾄﾞｵﾘｺｳﾔﾏﾁ","茨城県","龍ケ崎市","小通幸谷町",0,0,0,0,1,5
11239,"35002","3500259","ｻｲﾀﾏｹﾝ","ｻｶﾄﾞｼ","ﾆｼｲﾝﾀｰ","埼玉県","坂戸市","西インター",0,0,1,0,1,3
15210,"948  ","9480057","ﾆｲｶﾞﾀｹﾝ","ﾄｵｶﾏﾁｼ","ｶｽｶﾞﾁｮｳ","新潟県","十日町市","春日町",0,0,1,0,1,5
15210,"948  ","9480056","ﾆｲｶﾞﾀｹﾝ","ﾄｵｶﾏﾁｼ","ﾀｶﾀﾞﾁｮｳ(6ﾁｮｳﾒ)","新潟県","十日町市","高田町（６丁目）",1,0,1,1,1,5
15210,"948  ","9480065","ﾆｲｶﾞﾀｹﾝ","ﾄｵｶﾏﾁｼ","ﾀｶﾀﾞﾁｮｳｻﾝﾁｮｳﾒﾆｼ","新潟県","十日町市","高田町三丁目西",0,0,1,1,1,5
15210,"948  ","9480065","ﾆｲｶﾞﾀｹﾝ","ﾄｵｶﾏﾁｼ","ﾀｶﾀﾞﾁｮｳｻﾝﾁｮｳﾒﾐﾅﾐ","新潟県","十日町市","高田町三丁目南",0,0,1,1,1,5
15210,"948  ","9480056","ﾆｲｶﾞﾀｹﾝ","ﾄｵｶﾏﾁｼ","ﾀｶﾀﾞﾁｮｳﾖﾝﾁｮｳﾒ","新潟県","十日町市","高田町四丁目",0,0,1,1,1,5
15210,"948  ","9480056","ﾆｲｶﾞﾀｹﾝ","ﾄｵｶﾏﾁｼ","ﾀｶﾀﾞﾁｮｳｺﾞﾁｮｳﾒ","新潟県","十日町市","高田町五丁目",0,0,1,1,1,5
30203,"648  ","6480037","ﾜｶﾔﾏｹﾝ","ﾊｼﾓﾄｼ","ｶｼｺﾄﾞ","和歌山県","橋本市","賢堂",0,0,0,0,1,5
30203,"648  ","6480085","ﾜｶﾔﾏｹﾝ","ﾊｼﾓﾄｼ","ｷｼｶﾐ","和歌山県","橋本市","岸上",0,0,0,0,1,5
30203,"648  ","6480006","ﾜｶﾔﾏｹﾝ","ﾊｼﾓﾄｼ","ｻｶｲﾊﾗ","和歌山県","橋本市","境原",0,0,0,0,1,5
30203,"648  ","6480042","ﾜｶﾔﾏｹﾝ","ﾊｼﾓﾄｼ","ﾆｼﾊﾀ","和歌山県","橋本市","西畑",0,0,0,0,1,5
