04505,"987  ","9870066","ﾐﾔｷﾞｹﾝ","ﾄｵﾀﾞｸﾞﾝﾐｻﾄﾏﾁ","ﾌﾀﾂﾀﾞﾝ","宮城県","遠田郡美里町","二ツ壇",0,0,0,0,2,6
11225,"358  ","3580033","ｻｲﾀﾏｹﾝ","ｲﾙﾏｼ","ｻﾔﾏﾀﾞｲ","埼玉県","入間市","狭山台",0,0,0,0,2,6
13103,"106  ","1057301","ﾄｳｷｮｳﾄ","ﾐﾅﾄｸ","ﾋｶﾞｼｼﾝﾊﾞｼﾄｳｷｮｳｼｵﾄﾞﾒﾋﾞﾙﾃﾞｨﾝｸﾞ(1ｶｲ)","東京都","港区","東新橋東京汐留ビルディング（１階）",0,0,0,0,2,6
13103,"106  ","1057302","ﾄｳｷｮｳﾄ","ﾐﾅﾄｸ","ﾋｶﾞｼｼﾝﾊﾞｼﾄｳｷｮｳｼｵﾄﾞﾒﾋﾞﾙﾃﾞｨﾝｸﾞ(2ｶｲ)","東京都","港区","東新橋東京汐留ビルディング（２階）",0,0,0,0,2,6
13103,"107  ","1057303","ﾄｳｷｮｳﾄ","ﾐﾅﾄｸ","ﾋｶﾞｼｼﾝﾊﾞｼﾄｳｷｮｳｼｵﾄﾞﾒﾋﾞﾙﾃﾞｨﾝｸﾞ(3ｶｲ)","東京都","港区","東新橋東京汐留ビルディング（３階）",0,0,0,0,2,6
13103,"107  ","1057304","ﾄｳｷｮｳﾄ","ﾐﾅﾄｸ","ﾋｶﾞｼｼﾝﾊﾞｼﾄｳｷｮｳｼｵﾄﾞﾒﾋﾞﾙﾃﾞｨﾝｸﾞ(4ｶｲ)","東京都","港区","東新橋東京汐留ビルディング（４階）",0,0,0,0,2,6
13103,"108  ","1057305","ﾄｳｷｮｳﾄ","ﾐﾅﾄｸ","ﾋｶﾞｼｼﾝﾊﾞｼﾄｳｷｮｳｼｵﾄﾞﾒﾋﾞﾙﾃﾞｨﾝｸﾞ(5ｶｲ)","東京都","港区","東新橋東京汐留ビルディング（５階）",0,0,0,0,2,6
13103,"108  ","1057306","ﾄｳｷｮｳﾄ","ﾐﾅﾄｸ","ﾋｶﾞｼｼﾝﾊﾞｼﾄｳｷｮｳｼｵﾄﾞﾒﾋﾞﾙﾃﾞｨﾝｸﾞ(6ｶｲ)","東京都","港区","東新橋東京汐留ビルディング（６階）",0,0,0,0,2,6
13103,"109  ","1057307","ﾄｳｷｮｳﾄ","ﾐﾅﾄｸ","ﾋｶﾞｼｼﾝﾊﾞｼﾄｳｷｮｳｼｵﾄﾞﾒﾋﾞﾙﾃﾞｨﾝｸﾞ(7ｶｲ)","東京都","港区","東新橋東京汐留ビルディング（７階）",0,0,0,0,2,6
13103,"109  ","1057308","ﾄｳｷｮｳﾄ","ﾐﾅﾄｸ","ﾋｶﾞｼｼﾝﾊﾞｼﾄｳｷｮｳｼｵﾄﾞﾒﾋﾞﾙﾃﾞｨﾝｸﾞ(8ｶｲ)","東京都","港区","東新橋東京汐留ビルディング（８階）",0,0,0,0,2,6
13103,"110  ","1057309","ﾄｳｷｮｳﾄ","ﾐﾅﾄｸ","ﾋｶﾞｼｼﾝﾊﾞｼﾄｳｷｮｳｼｵﾄﾞﾒﾋﾞﾙﾃﾞｨﾝｸﾞ(9ｶｲ)","東京都","港区","東新橋東京汐留ビルディング（９階）",0,0,0,0,2,6
13103,"110  ","1057310","ﾄｳｷｮｳﾄ","ﾐﾅﾄｸ","ﾋｶﾞｼｼﾝﾊﾞｼﾄｳｷｮｳｼｵﾄﾞﾒﾋﾞﾙﾃﾞｨﾝｸﾞ(10ｶｲ)","東京都","港区","東新橋東京汐留ビルディング（１０階）",0,0,0,0,2,6
13103,"111  ","1057311","ﾄｳｷｮｳﾄ","ﾐﾅﾄｸ","ﾋｶﾞｼｼﾝﾊﾞｼﾄｳｷｮｳｼｵﾄﾞﾒﾋﾞﾙﾃﾞｨﾝｸﾞ(11ｶｲ)","東京都","港区","東新橋東京汐留ビルディング（１１階）",0,0,0,0,2,6
