03302,"02851","0285102","ｲﾜﾃｹﾝ","ｲﾜﾃｸﾞﾝｸｽﾞﾏｷﾏﾁ","ｸｽﾞﾏｷ(ﾀﾞｲ40ﾁﾜﾘ<57ﾊﾞﾝﾁ125､176ｦﾉｿﾞｸ>-ﾀﾞｲ45ﾁﾜﾘ)","岩手県","岩手郡葛巻町","葛巻（第４０地割「５７番地１２５、１７６を除く」～第４５地割）",1,1,0,0,1,5
07402,"96604","9660401","ﾌｸｼﾏｹﾝ","ﾔﾏｸﾞﾝｷﾀｼｵﾊﾞﾗﾑﾗ","ﾋﾊﾞﾗ(ｵｼｻﾞﾜ､ｵｼｻﾞﾜﾊﾗ､ﾎｿﾉ､ﾐﾅﾐｵｳﾚﾝｻﾜ､ﾐﾅﾐｵｳﾚﾝｻﾜﾔﾏ､ｵｳﾚﾝｻﾜﾔﾏ､ｵｳﾚﾝﾊﾗﾔﾏ)","福島県","耶麻郡北塩原村","檜原（雄子沢、雄子沢原、細野、南黄連沢、南黄連沢山、黄連沢山、黄連原山）",1,1,0,0,1,5
11221,"340  ","3400021","ｻｲﾀﾏｹﾝ","ｿｳｶｼ","ﾃｼﾛ","埼玉県","草加市","手代",0,0,1,0,1,2
18210,"91904","9190419","ﾌｸｲｹﾝ","ｻｶｲｼ","ﾊﾙｴﾁｮｳｽﾞｲｵｳｼﾞﾋｶﾞｼ","福井県","坂井市","春江町随応寺東",0,0,0,0,1,3
20324,"38423","3842304","ﾅｶﾞﾉｹﾝ","ｷﾀｻｸｸﾞﾝﾀﾃｼﾅﾏﾁ","ﾓﾀｲ(1-500<211ﾊﾞﾝﾁｦﾉｿﾞｸ><ﾌﾙﾏﾁ>､2527-2529<ﾄﾞﾄｵ>)","長野県","北佐久郡立科町","茂田井（１～５００「２１１番地を除く」「古町」、２５２７～２５２９「土遠」）",1,0,0,0,1,5
26102,"602  ","6028064","ｷｮｳﾄﾌ","ｷｮｳﾄｼｶﾐｷﾞｮｳｸ","ｲｯﾁｮｳﾒ","京都府","京都市上京区","一町目（上長者町通堀川東入、東堀川通上長者町上る、東堀川通中立売通下る）",0,0,0,0,1,5
26102,"602  ","6028202","ｷｮｳﾄﾌ","ｷｮｳﾄｼｶﾐｷﾞｮｳｸ","ｻｶｴﾁｮｳ","京都府","京都市上京区","栄町（大宮通一条上る西入、大宮通中立売下る、智恵光院通一条上る東入）",0,0,0,0,1,5
26102,"602  ","6028256","ｷｮｳﾄﾌ","ｷｮｳﾄｼｶﾐｷﾞｮｳｸ","ｼﾝﾒｲﾁｮｳ","京都府","京都市上京区","神明町（上長者町通松屋町東入、松屋町通上長者町上る、松屋町通中立売下る）",0,0,0,0,1,5
26102,"602  ","6020956","ｷｮｳﾄﾌ","ｷｮｳﾄｼｶﾐｷﾞｮｳｸ","ﾆｼﾏﾁ","京都府","京都市上京区","西町（東堀川通元誓願寺下る、元誓願寺通油小路西入、元誓願寺通東堀川東入）",0,0,0,0,1,5
26104,"604  ","6048345","ｷｮｳﾄﾌ","ｷｮｳﾄｼﾅｶｷﾞｮｳｸ","ｶｼﾞﾔﾁｮｳ","京都府","京都市中京区","鍛冶屋町（六角通猪熊西入、六角通黒門東入、六角通黒門西入、六角通大宮東入）",0,0,0,0,1,5
26104,"604  ","6040811","ｷｮｳﾄﾌ","ｷｮｳﾄｼﾅｶｷﾞｮｳｸ","ｶﾒﾔﾁｮｳ","京都府","京都市中京区","亀屋町（堺町通夷川下る、堺町通二条上る、夷川通堺町西入、夷川通堺町東入）",0,0,0,0,1,5
26104,"604  ","6048247","ｷｮｳﾄﾌ","ｷｮｳﾄｼﾅｶｷﾞｮｳｸ","ｼｵﾔﾁｮｳ","京都府","京都市中京区","塩屋町（三条通西洞院西入、三条通小川東入、三条通小川西入、三条通油小路東入）",0,0,0,0,1,5
26104,"604  ","6040014","ｷｮｳﾄﾌ","ｷｮｳﾄｼﾅｶｷﾞｮｳｸ","ﾀﾞｲｺｸﾁｮｳ","京都府","京都市中京区","大黒町（釜座通夷川下る、釜座通二条上る、夷川通釜座東入、夷川通釜座西入）",0,0,0,0,1,5
26104,"604  ","6040805","ｷｮｳﾄﾌ","ｷｮｳﾄｼﾅｶｷﾞｮｳｸ","ﾑｶﾃﾞﾔﾁｮｳ","京都府","京都市中京区","百足屋町（夷川通柳馬場西入、夷川通堺町東入、夷川通堺町西入、夷川通高倉東入）",0,0,0,0,1,5
26106,"600  ","6008066","ｷｮｳﾄﾌ","ｷｮｳﾄｼｼﾓｷﾞｮｳｸ","ｶｼﾜﾔﾁｮｳ","京都府","京都市下京区","柏屋町（万寿寺通柳馬場西入、柳馬場通五条上る、柳馬場通万寿寺下る）",0,0,0,0,1,5
26106,"600  ","6008016","ｷｮｳﾄﾌ","ｷｮｳﾄｼｼﾓｷﾞｮｳｸ","ｻﾞｲﾓｸﾁｮｳ","京都府","京都市下京区","材木町（木屋町通松原下る、松原通木屋町東入、松原通高瀬川筋東入）",0,0,0,0,1,5
26106,"600  ","6008349","ｷｮｳﾄﾌ","ｷｮｳﾄｼｼﾓｷﾞｮｳｸ","ｻｶｲﾁｮｳ","京都府","京都市下京区","堺町（堀川通旧花屋町東入、堀川通旧花屋町東入下る、堀川通正面上る）",0,0,0,0,1,5
26106,"600  ","6008093","ｷｮｳﾄﾌ","ｷｮｳﾄｼｼﾓｷﾞｮｳｸ","ﾀｹﾔﾁｮｳ","京都府","京都市下京区","竹屋町（高倉通綾小路下る、高倉通仏光寺上る、堺町通綾小路下る西入）",0,0,0,0,1,5
26106,"600  ","6008157","ｷｮｳﾄﾌ","ｷｮｳﾄｼｼﾓｷﾞｮｳｸ","ﾀﾁﾊﾞﾅﾁｮｳ","京都府","京都市下京区","橘町（下珠数屋町通不明門東入、下珠数屋町通烏丸東入、下珠数屋町通東洞院西入）",0,0,0,0,1,5
26106,"600  ","6008425","ｷｮｳﾄﾌ","ｷｮｳﾄｼｼﾓｷﾞｮｳｸ","ﾎﾈﾔﾁｮｳ","京都府","京都市下京区","骨屋町（諏訪町通高辻上る、諏訪町通高辻下る、高辻通烏丸西入、高辻通室町東入）",0,0,0,0,1,5
26106,"600  ","6008390","ｷｮｳﾄﾌ","ｷｮｳﾄｼｼﾓｷﾞｮｳｸ","ﾏﾂﾓﾄﾁｮｳ","京都府","京都市下京区","松本町（綾小路通猪熊東入、猪熊通綾小路上る、猪熊通四条下る）",0,0,0,0,1,5
27202,"596  ","5960816","ｵｵｻｶﾌ","ｷｼﾜﾀﾞｼ","ｵﾌﾞﾁｮｳ","大阪府","岸和田市","尾生町",0,0,1,0,1,2
28108,"655  ","6550061","ﾋｮｳｺﾞｹﾝ","ｺｳﾍﾞｼﾀﾙﾐｸ","ｺﾂﾞｶﾀﾞｲﾋｶﾞｼ","兵庫県","神戸市垂水区","小束台東",0,0,0,0,1,5
38215,"79102","7910206","ｴﾋﾒｹﾝ","ﾄｳｵﾝｼ","ｼﾂｶﾜﾐﾅﾐ","愛媛県","東温市","志津川南",0,0,1,0,1,3
44203,"871  ","8710046","ｵｵｲﾀｹﾝ","ﾅｶﾂｼ","ｶﾅﾔ(ｳｴﾉﾁｮｳ､ﾅｶﾉﾁｮｳ､ﾆｼﾉﾁｮｳ､ﾎﾝﾏﾁ､ﾐﾅﾐﾉﾁｮｳ､ﾓﾘﾉﾁｮｳ､ﾔﾏﾉｶﾐ)","大分県","中津市","金谷（上ノ丁、中ノ丁、西ノ丁、本町、南ノ丁、森ノ丁、山ノ神）",0,0,0,1,1,5
