04361,"ﾜﾀﾘﾁﾖｳﾔｸﾊﾞ","亘理町役場","宮城県","亘理郡亘理町","字下小路","７－４（亘理郵便局私書箱第１０号）","9892393","98923","亘理",1,0,5
11217,"ﾌｼﾞﾃﾞﾝｷﾘﾃｲﾙｼｽﾃﾑｽﾞ ｶﾌﾞｼｷｶﾞｲｼﾔ ｻｲﾀﾏｺｳｼﾞﾖｳ","富士電機リテイルシステムズ　株式会社　埼玉工場","埼玉県","鴻巣市","前砂","１６０－１","3690198","36901","吹上",0,0,5
13102,"ﾄﾀﾞｹﾝｾﾂ ｶﾌﾞｼｷｶﾞｲｼﾔ","戸田建設　株式会社","東京都","中央区","京橋","１丁目７－１ＴＯＤＡＢＬＤＧ","1048388","104  ","晴海",0,0,5
13104,"ｾﾞﾝｹﾝﾎﾝｼﾔ ｶﾌﾞｼｷｶﾞｲｼﾔ","全研本社　株式会社","東京都","新宿区","西新宿","１丁目４－１１","1608361","160  ","新宿",0,0,5
13105,"ｼﾖｳﾜﾘ-ｽ ｶﾌﾞｼｷｶﾞｲｼﾔ","昭和リース　株式会社","東京都","文京区","後楽","１丁目４番１４号","1128574","112  ","小石川",0,0,5
13108,"ｼﾈﾂｸｽｲﾝﾌｵﾃﾂｸ ｶﾌﾞｼｷｶﾞｲｼﾔ","シネックスインフォテック　株式会社","東京都","江東区","東陽","６丁目３番１号東京イースト２１ビジネスセンター２階","1358559","135  ","深川",0,0,5
13120,"ｶﾌﾞｼｷｶﾞｲｼﾔ ｶﾈﾏﾂｹ-ｼﾞ-ｹ-","株式会社　兼松ＫＧＫ","東京都","練馬区","桜台","１丁目１－６","1768510","176  ","練馬",0,0,5
13210,"ﾄﾞｸﾘﾂｷﾞﾖｳｾｲﾎｳｼﾞﾝ ｼﾞﾖｳﾎｳﾂｳｼﾝｹﾝｷﾕｳｷｺｳ","独立行政法人　情報通信研究機構","東京都","小金井市","貫井北町","４丁目２－１","1848795","184  ","小金井",0,0,5
17202,"ﾎｸﾘｸﾃﾞﾝﾘﾖｸ ｶﾌﾞｼｷｶﾞｲｼﾔ ﾅﾅｵｼｼﾔｴｲｷﾞﾖｳﾌﾞ","北陸電力　株式会社　七尾支社営業部","石川県","七尾市","三島町","６１－７","9268585","926  ","七尾",0,0,5
17210,"ｶﾌﾞｼｷｶﾞｲｼﾔ ｸｽﾘﾉｱｵｷ","株式会社　クスリのアオキ","石川県","白山市","松本町","２５１２","9248510","924  ","松任",0,0,5
23106,"ｴﾇﾃｲﾃｲﾄｳｶｲｲﾄﾞｳﾂｳｼﾝﾓｳ ｶﾌﾞｼｷｶﾞｲｼﾔ","ＮＴＴ東海移動通信網　株式会社","愛知県","名古屋市中区","栄","４丁目１－８中区役所朝日生命共同ビル","4608468","460  ","名古屋中",0,0,5
