"11226:鳩ケ谷市","ハトガヤシ"
"11241:鶴ケ島市","ツルガシマシ"
"14207:茅ケ崎市","チガサキシ"
"15441:北魚沼郡川口町","キタウオヌマグンカワグチマチ"
"17386:羽咋郡宝逹志水町","ハクイグンホウダツシミズチョウ"
"22361:富士郡芝川町","フジグンシバカワチョウ"
"22503:浜名郡新居町","ハマナグンアライチョウ"
"23421:海部郡七宝町","アマグンシッポウチョウ"
"23423:海部郡甚目寺町","アマグンジモクジチョウ"
"23481:幡豆郡一色町","ハズグンイッシキチョウ"
"23482:幡豆郡吉良町","ハズグンキラチョウ"
"23483:幡豆郡幡豆町","ハズグンハズチョウ"
"45301:宮崎郡清武町","ミヤザキグンキヨタケチョウ"
"45362:西諸県郡野尻町","ニシモロカタグンノジリチョウ"
"46441:姶良郡加治木町","アイラグンカジキチョウ"
"46442:姶良郡姶良町","アイラグンアイラチョウ"
"46443:姶良郡蒲生町","アイラグンカモウチョウ"
"01101:札幌市中央区","サッポロシチュウオウク"
"01102:札幌市北区","サッポロシキタク"
"01103:札幌市東区","サッポロシヒガシク"
"01104:札幌市白石区","サッポロシシロイシク"
"01105:札幌市豊平区","サッポロシトヨヒラク"
"01106:札幌市南区","サッポロシミナミク"
"01107:札幌市西区","サッポロシニシク"
"01108:札幌市厚別区","サッポロシアツベツク"
"01109:札幌市手稲区","サッポロシテイネク"
"01110:札幌市清田区","サッポロシキヨタク"
"01202:函館市","ハコダテシ"
"01203:小樽市","オタルシ"
"01204:旭川市","アサヒカワシ"
"01205:室蘭市","ムロランシ"
"01206:釧路市","クシロシ"
"01207:帯広市","オビヒロシ"
"01208:北見市","キタミシ"
"01209:夕張市","ユウバリシ"
"01210:岩見沢市","イワミザワシ"
"01211:網走市","アバシリシ"
"01212:留萌市","ルモイシ"
"01213:苫小牧市","トマコマイシ"
"01214:稚内市","ワッカナイシ"
"01215:美唄市","ビバイシ"
"01216:芦別市","アシベツシ"
"01217:江別市","エベツシ"
"01218:赤平市","アカビラシ"
"01219:紋別市","モンベツシ"
"01220:士別市","シベツシ"
"01221:名寄市","ナヨロシ"
"01222:三笠市","ミカサシ"
"01223:根室市","ネムロシ"
"01224:千歳市","チトセシ"
"01225:滝川市","タキカワシ"
"01226:砂川市","スナガワシ"
"01227:歌志内市","ウタシナイシ"
"01228:深川市","フカガワシ"
"01229:富良野市","フラノシ"
"01230:登別市","ノボリベツシ"
"01231:恵庭市","エニワシ"
"01233:伊達市","ダテシ"
"01234:北広島市","キタヒロシマシ"
"01235:石狩市","イシカリシ"
"01236:北斗市","ホクトシ"
"01303:石狩郡当別町","イシカリグントウベツチョウ"
"01304:石狩郡新篠津村","イシカリグンシンシノツムラ"
"01331:松前郡松前町","マツマエグンマツマエチョウ"
"01332:松前郡福島町","マツマエグンフクシマチョウ"
